# Time X Y Z VX VY VZ Phi Theta Psi P Q R U1 U2 U3 U4
0.590000 -0.013811 0.006582 1.192171 -0.041710 0.019494 0.366161 0.001922 0.003844 0.060006 -0.004752 -0.008528 0.100000 4.970310 4.972205 4.972824 4.970929
0.600000 -0.014230 0.006778 1.195839 -0.042098 0.019660 0.367482 0.001879 0.003758 0.061005 -0.004646 -0.008337 0.100000 4.969994 4.971847 4.972453 4.970599
0.610000 -0.014653 0.006975 1.199520 -0.042478 0.019821 0.368797 0.001836 0.003674 0.062005 -0.004541 -0.008150 0.100000 4.969676 4.971488 4.972081 4.970268
0.620000 -0.015080 0.007174 1.203215 -0.042850 0.019979 0.370105 0.001795 0.003591 0.063005 -0.004439 -0.007968 0.100000 4.969356 4.971128 4.971708 4.969935
0.630000 -0.015510 0.007375 1.206922 -0.043213 0.020132 0.371405 0.001755 0.003511 0.064005 -0.004340 -0.007789 0.100000 4.969034 4.970767 4.971334 4.969600
0.640000 -0.015944 0.007577 1.210643 -0.043568 0.020282 0.372699 0.001715 0.003432 0.065005 -0.004242 -0.007615 0.100000 4.968710 4.970405 4.970959 4.969264
0.650000 -0.016381 0.007780 1.214376 -0.043915 0.020428 0.373986 0.001677 0.003355 0.066005 -0.004147 -0.007444 0.100000 4.968385 4.970042 4.970584 4.968926
0.660000 -0.016822 0.007985 1.218123 -0.044255 0.020570 0.375266 0.001639 0.003280 0.067005 -0.004054 -0.007277 0.100000 4.968057 4.969678 4.970207 4.968587
0.670000 -0.017266 0.008192 1.221882 -0.044587 0.020709 0.376539 0.001602 0.003206 0.068005 -0.003963 -0.007114 0.100000 4.967728 4.969312 4.969830 4.968246
0.680000 -0.017714 0.008399 1.225653 -0.044912 0.020845 0.377804 0.001566 0.003134 0.069004 -0.003874 -0.006955 0.100000 4.967397 4.968946 4.969452 4.967903
0.690000 -0.018165 0.008608 1.229438 -0.045230 0.020977 0.379063 0.001531 0.003064 0.070004 -0.003787 -0.006799 0.100000 4.967064 4.968579 4.969074 4.967559
0.700000 -0.018618 0.008819 1.233235 -0.045540 0.021105 0.380314 0.001497 0.002995 0.071004 -0.003702 -0.006646 0.100000 4.966729 4.968210 4.968694 4.967213
0.710000 -0.019075 0.009031 1.237044 -0.045844 0.021231 0.381558 0.001463 0.002928 0.072004 -0.003619 -0.006497 0.100000 4.966393 4.967840 4.968314 4.966866
0.720000 -0.019535 0.009243 1.240866 -0.046141 0.021353 0.382796 0.001430 0.002862 0.073004 -0.003537 -0.006352 0.100000 4.966055 4.967470 4.967932 4.966517
0.730000 -0.019998 0.009458 1.244700 -0.046431 0.021472 0.384025 0.001398 0.002798 0.074004 -0.003458 -0.006209 0.100000 4.965715 4.967098 4.967550 4.966167
0.740000 -0.020464 0.009673 1.248546 -0.046715 0.021589 0.385248 0.001367 0.002735 0.075004 -0.003380 -0.006070 0.100000 4.965373 4.966725 4.967168 4.965815
0.750000 -0.020932 0.009889 1.252405 -0.046993 0.021702 0.386463 0.001336 0.002674 0.076004 -0.003304 -0.005934 0.100000 4.965029 4.966352 4.966784 4.965462
0.760000 -0.021404 0.010107 1.256275 -0.047265 0.021813 0.387672 0.001306 0.002614 0.077004 -0.003230 -0.005801 0.100000 4.964684 4.965977 4.966399 4.965107
0.770000 -0.021878 0.010326 1.260158 -0.047530 0.021921 0.388872 0.001276 0.002555 0.078004 -0.003157 -0.005671 0.100000 4.964337 4.965601 4.966014 4.964750
0.780000 -0.022354 0.010545 1.264053 -0.047790 0.022026 0.390066 0.001248 0.002498 0.079004 -0.003087 -0.005543 0.100000 4.963989 4.965224 4.965628 4.964393
0.790000 -0.022833 0.010766 1.267959 -0.048044 0.022128 0.391252 0.001220 0.002442 0.080004 -0.003017 -0.005419 0.100000 4.963638 4.964846 4.965241 4.964033
0.800000 -0.023315 0.010988 1.271878 -0.048292 0.022228 0.392430 0.001192 0.002387 0.081003 -0.002949 -0.005297 0.100000 4.963287 4.964467 4.964853 4.963673
0.810000 -0.023799 0.011211 1.275808 -0.048535 0.022326 0.393602 0.001166 0.002334 0.082003 -0.002883 -0.005179 0.100000 4.962933 4.964087 4.964464 4.963310
0.820000 -0.024286 0.011434 1.279750 -0.048772 0.022421 0.394766 0.001139 0.002281 0.083003 -0.002818 -0.005062 0.100000 4.962578 4.963706 4.964075 4.962947
0.830000 -0.024775 0.011659 1.283703 -0.049004 0.022513 0.395922 0.001114 0.002230 0.084003 -0.002755 -0.004949 0.100000 4.962221 4.963324 4.963685 4.962582
0.840000 -0.025266 0.011885 1.287668 -0.049231 0.022604 0.397071 0.001089 0.002180 0.085003 -0.002693 -0.004838 0.100000 4.961863 4.962941 4.963293 4.962215
0.850000 -0.025759 0.012111 1.291645 -0.049453 0.022692 0.398212 0.001064 0.002131 0.086003 -0.002633 -0.004729 0.100000 4.961503 4.962557 4.962901 4.961848
0.860000 -0.026255 0.012338 1.295632 -0.049670 0.022777 0.399346 0.001040 0.002083 0.087003 -0.002573 -0.004623 0.100000 4.961141 4.962171 4.962509 4.961478
0.870000 -0.026753 0.012567 1.299631 -0.049882 0.022861 0.400472 0.001017 0.002037 0.088003 -0.002516 -0.004519 0.100000 4.960778 4.961785 4.962115 4.961108
0.880000 -0.027253 0.012796 1.303642 -0.050090 0.022943 0.401591 0.000994 0.001991 0.089003 -0.002459 -0.004418 0.100000 4.960414 4.961398 4.961720 4.960736
0.890000 -0.027754 0.013026 1.307663 -0.050293 0.023022 0.402702 0.000972 0.001946 0.090003 -0.002404 -0.004319 0.100000 4.960048 4.961010 4.961325 4.960362
0.900000 -0.028258 0.013256 1.311696 -0.050491 0.023100 0.403805 0.000950 0.001903 0.091003 -0.002350 -0.004222 0.100000 4.959680 4.960621 4.960929 4.959988
0.910000 -0.028764 0.013487 1.315739 -0.050685 0.023175 0.404901 0.000928 0.001860 0.092003 -0.002297 -0.004127 0.100000 4.959311 4.960230 4.960531 4.959612
0.920000 -0.029272 0.013720 1.319794 -0.050875 0.023249 0.405989 0.000908 0.001818 0.093003 -0.002245 -0.004035 0.100000 4.958940 4.959839 4.960133 4.959234
0.930000 -0.029782 0.013952 1.323859 -0.051060 0.023321 0.407069 0.000887 0.001777 0.094003 -0.002195 -0.003944 0.100000 4.958568 4.959447 4.959735 4.958856
0.940000 -0.030293 0.014186 1.327935 -0.051242 0.023391 0.408141 0.000867 0.001737 0.095003 -0.002145 -0.003856 0.100000 4.958195 4.959054 4.959335 4.958476
0.950000 -0.030807 0.014420 1.332022 -0.051419 0.023459 0.409206 0.000848 0.001699 0.096003 -0.002097 -0.003769 0.100000 4.957820 4.958660 4.958934 4.958095
0.960000 -0.031322 0.014655 1.336119 -0.051593 0.023525 0.410263 0.000829 0.001660 0.097003 -0.002050 -0.003685 0.100000 4.957443 4.958264 4.958533 4.957712
0.970000 -0.031838 0.014891 1.340227 -0.051762 0.023590 0.411312 0.000810 0.001623 0.098003 -0.002004 -0.003602 0.100000 4.957066 4.957868 4.958131 4.957328
0.980000 -0.032357 0.015127 1.344345 -0.051928 0.023654 0.412354 0.000792 0.001587 0.099003 -0.001959 -0.003521 0.100000 4.956687 4.957471 4.957728 4.956943
0.990000 -0.032877 0.015364 1.348474 -0.052090 0.023715 0.413387 0.000774 0.001551 0.100003 -0.001915 -0.003442 0.100000 4.956306 4.957073 4.957324 4.956557
1.000000 -0.033399 0.015601 1.352613 -0.052249 0.023775 0.414413 0.000757 0.001516 0.101003 -0.001872 -0.003365 0.100000 4.955924 4.956674 4.956919 4.956170
1.010000 -0.033922 0.015839 1.356762 -0.052404 0.023834 0.415431 0.000740 0.001482 0.102003 -0.001830 -0.003289 0.100000 4.955541 4.956274 4.956514 4.955781
1.020000 -0.034447 0.016078 1.360922 -0.052555 0.023891 0.416440 0.000723 0.001449 0.103003 -0.001789 -0.003216 0.100000 4.955156 4.955873 4.956107 4.955391
1.030000 -0.034973 0.016317 1.365091 -0.052704 0.023947 0.417442 0.000707 0.001417 0.104003 -0.001749 -0.003144 0.100000 4.954770 4.955471 4.955700 4.955000
1.040000 -0.035501 0.016557 1.369270 -0.052849 0.024001 0.418436 0.000691 0.001385 0.105003 -0.001709 -0.003073 0.100000 4.954383 4.955068 4.955292 4.954607
1.050000 -0.036030 0.016797 1.373460 -0.052990 0.024054 0.419422 0.000675 0.001354 0.106003 -0.001671 -0.003004 0.100000 4.953995 4.954664 4.954883 4.954214
1.060000 -0.036561 0.017038 1.377659 -0.053129 0.024105 0.420400 0.000660 0.001323 0.107003 -0.001633 -0.002937 0.100000 4.953605 4.954259 4.954473 4.953819
1.070000 -0.037093 0.017279 1.381868 -0.053264 0.024155 0.421370 0.000645 0.001294 0.108003 -0.001597 -0.002871 0.100000 4.953214 4.953853 4.954063 4.953423
1.080000 -0.037626 0.017521 1.386086 -0.053397 0.024204 0.422332 0.000631 0.001265 0.109003 -0.001561 -0.002806 0.100000 4.952821 4.953446 4.953651 4.953026
1.090000 -0.038160 0.017763 1.390314 -0.053526 0.024252 0.423286 0.000617 0.001236 0.110002 -0.001526 -0.002743 0.100000 4.952428 4.953039 4.953239 4.952628
1.100000 -0.038696 0.018006 1.394552 -0.053653 0.024299 0.424231 0.000603 0.001208 0.111002 -0.001491 -0.002682 0.100000 4.952033 4.952630 4.952826 4.952228
1.110000 -0.039234 0.018249 1.398799 -0.053777 0.024344 0.425169 0.000589 0.001181 0.112002 -0.001458 -0.002622 0.100000 4.951637 4.952220 4.952412 4.951828
1.120000 -0.039772 0.018493 1.403055 -0.053898 0.024388 0.426098 0.000576 0.001155 0.113002 -0.001425 -0.002563 0.100000 4.951239 4.951810 4.951997 4.951426
1.130000 -0.040311 0.018737 1.407321 -0.054016 0.024431 0.427020 0.000563 0.001129 0.114002 -0.001393 -0.002505 0.100000 4.950841 4.951399 4.951582 4.951024
1.140000 -0.040852 0.018982 1.411596 -0.054132 0.024473 0.427933 0.000550 0.001104 0.115002 -0.001362 -0.002449 0.100000 4.950441 4.950986 4.951165 4.950620
1.150000 -0.041394 0.019227 1.415879 -0.054245 0.024514 0.428838 0.000538 0.001079 0.116002 -0.001331 -0.002394 0.100000 4.950040 4.950573 4.950748 4.950215
1.160000 -0.041937 0.019472 1.420172 -0.054356 0.024554 0.429735 0.000526 0.001055 0.117002 -0.001301 -0.002341 0.100000 4.949638 4.950159 4.950330 4.949809
1.170000 -0.042481 0.019718 1.424474 -0.054464 0.024593 0.430623 0.000514 0.001031 0.118002 -0.001272 -0.002288 0.100000 4.949235 4.949744 4.949911 4.949402
1.180000 -0.043026 0.019964 1.428785 -0.054570 0.024631 0.431504 0.000503 0.001008 0.119002 -0.001243 -0.002237 0.100000 4.948830 4.949328 4.949492 4.948994
1.190000 -0.043573 0.020210 1.433104 -0.054673 0.024668 0.432376 0.000491 0.000985 0.120002 -0.001215 -0.002186 0.100000 4.948425 4.948912 4.949071 4.948584
1.200000 -0.044120 0.020457 1.437432 -0.054774 0.024704 0.433239 0.000480 0.000963 0.121002 -0.001188 -0.002137 0.100000 4.948018 4.948494 4.948650 4.948174
1.210000 -0.044668 0.020704 1.441769 -0.054873 0.024739 0.434095 0.000469 0.000942 0.122002 -0.001161 -0.002089 0.100000 4.947610 4.948076 4.948228 4.947763
